movie,cause_event,effect_event,rating_count
1,3,4,1
1,3,9,1
1,3,10,1
1,5,8,1
1,6,7,1
1,7,5,2
1,7,8,1
1,7,9,1
1,8,7,1
1,8,9,2
1,10,9,1
1,10,11,4
1,10,13,1
1,10,14,1
1,11,12,2
1,12,13,2
1,13,14,1
1,13,15,1
1,13,17,1
1,13,19,1
1,14,9,1
1,14,15,4
1,14,26,1
1,15,16,2
1,15,20,1
1,16,17,8
1,16,18,1
1,16,20,1
1,17,18,6
1,17,20,3
1,18,19,3
1,18,26,2
1,19,11,1
1,19,20,5
1,20,22,2
1,20,23,4
1,20,26,1
1,22,21,2
1,22,24,1
1,23,24,3
1,23,25,1
1,24,25,11
1,24,26,2
1,25,9,1
1,25,26,1
1,26,4,1
1,26,5,1
1,26,9,1
2,29,30,10
2,29,31,2
2,30,31,5
2,31,32,8
2,32,33,8
2,32,34,1
2,33,34,6
2,33,35,2
2,33,36,1
2,34,35,8
2,35,33,1
2,35,36,7
2,35,37,3
2,35,38,2
2,35,39,2
2,35,40,2
2,35,41,2
2,36,37,9
2,37,38,9
2,38,28,1
2,38,39,9
2,39,40,11
2,40,41,11
3,43,44,2
3,44,45,8
3,44,47,2
3,44,49,1
3,44,54,1
3,45,44,1
3,45,46,4
3,45,47,2
3,46,47,1
3,47,48,6
3,47,49,2
3,47,51,2
3,47,53,1
3,47,54,1
3,47,55,1
3,48,49,8
3,48,51,3
3,48,53,2
3,48,54,1
3,48,55,1
3,48,58,1
3,49,50,7
3,49,51,4
3,49,55,1
3,50,51,5
3,51,49,1
3,51,52,3
3,51,53,7
3,51,54,1
3,51,58,1
3,53,54,4
3,53,55,2
3,53,66,1
3,54,55,5
3,54,56,2
3,54,57,2
3,54,59,1
3,55,56,3
3,55,57,4
3,55,58,1
3,55,60,1
3,56,57,4
3,57,58,4
3,57,61,3
3,58,59,2
3,59,60,6
3,61,62,1
3,61,66,1
3,63,64,2
3,64,65,3
3,65,66,8
3,66,65,1
3,66,67,6
4,70,72,1
4,71,72,1
4,71,73,4
4,71,74,2
4,71,78,1
4,72,73,5
4,73,74,6
4,73,75,1
4,74,73,1
4,74,75,3
4,74,76,2
4,74,78,1
4,75,76,9
4,76,77,2
4,76,78,3
4,77,78,7
4,78,69,2
4,78,79,8
4,78,80,7
4,79,80,2
4,80,69,4
5,82,84,3
5,84,85,1
5,85,86,3
5,85,89,2
5,85,90,1
5,86,87,8
5,86,91,1
5,87,88,11
5,88,101,1
5,89,90,4
5,89,91,4
5,89,92,1
5,89,94,1
5,89,95,1
5,90,91,4
5,90,92,5
5,90,93,2
5,91,92,2
5,91,93,1
5,91,96,1
5,91,105,1
5,92,93,5
5,93,94,2
5,93,95,7
5,93,96,1
5,94,95,4
5,94,96,1
5,95,96,11
5,96,98,6
5,96,99,1
5,96,100,1
5,96,104,1
5,97,99,9
5,98,99,7
5,98,101,1
5,99,101,2
5,100,103,7
5,101,103,4
5,101,104,1
5,101,105,2
5,101,106,1
5,102,101,2
5,103,104,11
5,104,105,3
5,105,106,8
5,106,83,1
6,110,123,1
6,111,112,2
6,112,113,4
6,112,114,1
6,113,114,3
6,114,115,12
6,115,116,6
6,116,117,5
6,116,118,1
6,117,118,9
6,118,119,5
6,118,120,1
6,119,117,1
6,119,120,10
6,119,121,1
6,120,121,10
6,120,122,1
6,121,122,1
6,122,123,3
6,123,124,13
6,124,125,3
6,125,126,10
6,125,128,1
6,126,127,9
6,127,128,9
6,128,129,6
6,129,130,7
6,129,131,1
6,130,131,3
6,131,132,8
6,131,133,2
6,132,133,11
6,133,134,10
6,133,135,1
6,134,135,8
6,134,136,1
6,135,136,10
6,136,111,1
7,138,139,4
7,138,146,1
7,138,148,1
7,138,152,1
7,139,140,10
7,139,141,3
7,140,141,5
7,141,142,4
7,142,143,6
7,142,148,3
7,143,144,12
7,144,145,6
7,144,146,5
7,144,152,1
7,145,146,4
7,146,147,3
7,147,148,1
7,148,149,10
7,148,150,2
7,148,151,1
7,149,150,7
7,150,151,7
7,151,152,4
7,151,153,1
7,152,153,7
8,155,156,9
8,156,157,6
8,157,158,13
8,157,159,1
8,157,160,1
8,157,161,1
8,157,162,1
8,158,159,7
8,158,160,2
8,158,161,1
8,158,162,1
8,159,160,8
8,159,161,1
8,160,161,8
8,161,162,8
8,162,163,10
8,163,164,13
9,167,169,1
9,168,169,4
9,169,170,2
9,169,171,2
9,170,171,9
9,171,169,1
9,171,172,9
9,171,174,5
9,172,173,11
9,172,174,1
9,173,174,6
9,174,175,12
9,174,177,1
9,175,176,11
9,175,178,2
9,176,177,9
9,176,178,1
9,177,178,7
9,177,179,1
9,178,179,5
9,178,180,3
9,179,180,8
10,181,182,1
10,182,185,2
10,183,184,5
10,183,185,1
10,184,185,4
10,184,186,7
10,185,186,3
10,186,187,6
10,186,189,1
10,187,188,3
10,187,189,1
10,187,192,1
10,188,189,9
10,188,192,1
10,189,190,13
10,189,191,2
10,189,194,5
10,189,198,1
10,190,194,1
10,190,195,1
10,192,191,1
10,192,193,6
10,192,194,3
10,193,194,1
10,194,195,5
10,194,196,1
10,194,197,2
10,194,198,1
10,195,196,2
10,196,197,4
10,197,198,7
10,197,200,3
10,198,199,6
10,199,200,6
10,199,206,1
10,200,201,11
10,200,202,1
10,201,202,7
10,202,203,2
10,203,204,10
10,203,205,7
10,203,207,2
10,204,205,1
10,204,206,7
10,204,209,1
10,205,207,4
10,206,208,9
10,206,209,3
10,206,213,2
10,207,208,2
10,207,209,1
10,207,211,5
10,207,213,1
10,207,214,5
10,208,209,6
10,208,213,2
10,208,215,1
10,208,216,1
10,209,210,9
10,209,211,1
10,209,213,1
10,211,212,12
10,211,213,1
10,212,213,3
10,213,214,1
10,214,184,1
10,214,196,1
10,214,200,2
10,214,203,1
10,214,213,1
10,214,215,8
10,215,216,6
