story_id,language,text
0,arabic,ذات مرة، كان هناك بجعة تعيش في بحيرة كبيرة. كانت الجبعة جميلة جداً، ولكنها كانت أيضاً هشة جداً. في يوم من الأيام، كانت الجبعة تسبح في البحيرة عندما رأت بطة صغيرة عالقة في بعض الأعشاب الضارة. أرادت الجبعة مساعدة البطة الصغيرة، لكنها كانت خائفة من أن تؤذيها لأنها كانت هشة جداً. ففكرت الجبعة في ما يجب القيام به وقررت طلب المساعدة من الحيوانات الأخرى في البحيرة. اجتمعت الحيوانات معاً وعملت على تحرير البطة الصغيرة. عندما كان البط الصغير أخيراً حراً، صفق جميع الحيوانات للجعة لكونها لطيفة جداً ومهتمة. شعرت الجعة بسعادة كبيرة وفخورة بنفسها لمساعدة البط الصغير. تعلمت أنه على الرغم من أنها هشة، فإنها لا تزال قادرة على إحداث فرق كبير في العالم من خلال مساعدة الآخرين.
1,arabic,كان هناك ذات مرة فتاة صغيرة تحب الزهرة. كل يوم، كانت تذهب إلى الحديقة القريبة وتلتقط بعض الزهور التي تنمو هناك. في يوم من الأيام، كانت لديها زهرة خاصة جداً. كانت مختلفة قليلاً عن جميع الزهور الزهرية الأخرى. أرادت أن تحتفظ بهذه الزهرة الزهرية معها دائماً. كانت لديها فكرة! كانت تربط الزهرة الزهرية الخاصة بثوبها. لذلك، كانت الفتاة الصغيرة تربط الزهرة الزهرية الخاصة بعناية بثوبها. كانت الزهرة الزهرية تلمع في ضوء الشمس. أينما ذهبت الفتاة الصغيرة، كانت تأخذ معها الزهرة الزهرية الخاصة بها. حتى أنها كانت لديها اسم خاص له: ديزي!كانت الفتاة الصغيرة سعيدة جداً لأنها تمكنت من ربط ديزي خاصتها بثوبها.كلما سأل الناس عن ذلك، قالت لهم أنه كان ديزي خاصتها.كانت تعرف أنه ليس من الطبيعي أن تكون هناك ديزي متصلة بثوبك، لكنها لم تهتم.كانت تحب ديزي خاصتها ولم تكن لتحتفظ بها بأي طريقة أخرى.
2,arabic,"رأى جون شيئًا أزرقًا على الأرض. ذهب لإلقاء نظرة فاحصة وأدرك أنه كان مغناطيسًا. أعجب به اللون الأزرق واعتقد أنه سيكون لعبة رائعة للتأرجح بها. أخذ جون المغناطيس وبدأ في هزّه في الهواء. فجأة ، سمع والدته تصرخ: ""جون ، توقف! هذا شيء خطير تلعب به!"" وضع جون المغناطيس جانبا ونظر إلى والدته. أراد أن يواصل اللعب بالمغناطيس، لذلك بدأ يلوح به مرة أخرى. فجأة، طار المغناطيس من يده و أصابه في وجهه. بدأ جون في البكاء من الألم."
3,arabic,"ذات مرة كان هناك صديقين - جاك وجيل.كانوا غالباً ما يسيرون على التل ولكن في يوم من الأيام كانت رحلتهم مختلفة. وجاك وجيل صادفوا فرقة موسيقية سيئة كبيرة. كان هناك الكثير من الطبول والصمامة التي كانت عالية جداً! جاك وجيل أرادوا الابتعاد عن الفرقة، لذلك فكرت في خطة. وقالوا لبعضهم البعض، ""دعونا عكس هذا الصوت السيئ"". لذلك فعل جاك وجيل ذلك. ركضوا في الاتجاه الآخر واختفت الضوضاء ببطء. كان جاك وجيل سعداء جداً لكونهم عكسوا صوت الفرقة السيئ. الآن يمكنهم مواصلة الصعود إلى التل دون الضوضاء الصاخبة. النهاية."
4,arabic,"سام وميا توأمان. يحبان اللعب في الخارج، لكن اليوم حار جداً. الشمس مشرقة والهواء لزج. يشعران بالعرق والعطش. ""هل يمكننا الحصول على بعض الآيس كريم، أمي؟"" يسأل سام. يحب آيس كريم الشوكولاته. ""أنا أيضاً، أنا أيضاً!"" تقول ميا. تحب آيس كريم الفراولة. أمي مشغولة في المطبخ. إنها تعد الغداء للعائلة. لا يريدون الانتظار لتناول الغداء. يريدون الآيس كريم الآن. ينظرون إلى بعضهم البعض. لديهم فكرة. يتسللون خارج المنزل. يركضون إلى شاحنة الآيس كريم. يرون السيد لي، رجل الآيس كريم. وهو يبتسم. يحب أن يجعل الأطفال سعداء. ""مرحبا، سام وميا. ماذا يمكنني أن أحضر لك؟"" يسأل السيد لي. سام وميا ننظر إلى القائمة. ""هنا تذهب. هذا سيكون أربعة دولارات، من فضلك، "" يقول السيد لي. سام وميا ينظرون إلى بعضهم البعض. لديهم مشكلة. ليس لديهم أي مال. نسوا أن يجلبوا بنكهم الخنزير. يشعرون بالحرج. لا يعرفون ماذا يفعلون. ينظرون إلى السيد لي. وهو ينتظر. "" أم، نحن آسفون، السيد لي. ليس لدينا أي مال. نسينا، "" تقول ميا. السيد لي ينظر إليهم. يرى وجوههم الحزينة. يشعر بالأسف من أجلهم. كما أنه يتذكر مدى حرارة الجو. يقول، "" لا بأس، سام وميا. أنا أفهم. إنه يوم حار جدا. يمكنك الحصول على الآيس كريم مجاناً. لكن لا تخبر أحداً، حسناً؟ إنه سرنا. ""سام وميا سعداء. يشكران السيد لي. يلعقان آيس كريمهم. إنه بارد وحلو. يشعران بتحسن. ينجحان في أكل آيس كريمهم قبل أن يذوب. يمسحان أفواههما. يلوحان للسيد لي. يركضان إلى المنزل."
5,arabic,"تيم وسام أصدقاء. يحبون اللعب في الحديقة. في يوم من الأيام، يرون حفرة كبيرة في الأرض. إنها بئر. يذهبون بالقرب من البئر وينظرون إلى الداخل. ""واو، إنه مظلم جداً وعميق"" يقول تيم. ""ربما هناك أسماك أو ضفادع هناك"" يقول سام. يسمعون صوتًا من البئر. إنه صوت غريب. يقول: ""مرحباً، يا أولاد. هل تريدون اللعب معي؟"" تيم وسام خائفين. لا يرون أي شخص في البئر. يعتقدون أن الصوت من وحش. ""من أنت؟"" يسأل تيم. ""أنا وحش ودود. أعيش في البئر. أنا وحيد. أريد أن ألعب معك. يمكنني أن أقدم لك الحلوى والألعاب. انزل وانضم إلي، ""يقول الصوت. تيم وسام لا يصدقون الصوت. يعتقدون أن الوحش يكذب. لا يريدون النزول إلى البئر. يريدون الهرب. ""لا ، شكراً لك. لا نريد اللعب معك. أنت غريب ومخيف. سنخبر أمي وأبي ، ""يقول سام. يهربون من البئر. يجدون أمي وأبيهم. يخبروهم عن الصوت في البئر. يأتي رجال الشرطة ويتفقدون البئر. يجدون رجلاً معه مكبر صوت وميكروفون. إنه رجل سيء. أراد خداع الأولاد وإخراجهم. الشرطة تعتقل الرجل وتأخذه. تيم وسام آمنين. هم سعداء."
6,arabic,ذات مرة كان هناك دب مشعر. أراد الدب البقاء في الغابة إلى الأبد، لكنه علم أن ذلك لن يكون ممكنا. في يوم من الأيام، طلب الدب من الغابة إذا كان بإمكانه البقاء، وقالت الغابة نعم، ولكن فقط إذا وعدت بأن تكون مهذبة. وافق الدب، وقالت الغابة أنها ستسمح للدب بالبقاء. لذلك بقي الدب في الغابة، لكنه كان حريصًا على تذكر أن يكون مهذبًا دائمًا. احتفظ بصوته منخفضًا ولم يزعج الحيوانات الأخرى التي تعيش هناك. كل من في الغابة كان سعيدا بوجود الدب الشعري وسرعان ما أصبح جزءا من الأسرة. الدب والغابة عاشوا بسعادة إلى الأبد بعد أن كان الدب دائما مهذبا والغابة دائما يسمح لها بالبقاء!
7,arabic,"في يوم من الأيام ، وجد صبي صغير يدعى تيم وعاءً غامضًا في مطبخه. نظر إلى الداخل ورأى بعض الحساء. أراد تذوقه ، لكن والدته قالت: ""لا ، تيم! لا يمكنك أكل هذا الحساء"". كان تيم حزينًا. لم يفهم لماذا لا يستطيع أكل الحساء. قرر تجاهل والدته وأكل الحساء على أي حال. أخذ ملعقة وتذوق الحساء. كان لذيذًا جدًا. ولكن بعد ذلك ، اكتشفت والدته أن تيم أكل الحساء. لم تكن سعيدة. أخبرت تيم أن الحساء كان لحفلة لاحقة. شعر تيم بالسوء. لقد اعتذر لوالدته و أعدوا المزيد من الحساء معاً للحفلة"
8,arabic,"كان ذات مرة هيكل عظمي يعيش في قرية فقيرة. كان اسمه جيم، وكان يعيش وحيداً في منزله الصغير في زاوية القرية. ذات يوم، تشاجر جيم مع جاره. قال جاره إنه يجب أن يبقى في منزله طوال اليوم ولكن جيم لم يوافق. أراد زيارة الغابة القريبة والحصول على بعض المتعة. كان الجار غير سعيد، لكن جيم لم يهتم. لذلك هرب ليكتشف الغابة. كان لديه وقت رائع، يشاهد الأشجار ويطارد الطيور. وعندما عاد إلى المنزل، رأى جاره يتساءل لماذا كان غبيًا للغاية. ابتسم جيم فقط وقال: ""لقد استمتعت كثيراً!"" هز جاره رأسه وقال: ""لقد أخبرتك أنه ليس آمنًا!"" لكن جيم اختلف."
0,azerbaijani,"Bir vaxtlar Lili adlı kiçik bir qız var idi. Onun Snowball adlı ağ pişiyi var idi. Bir gün Lily və Snowball çöldə oynayırdılar ki, Snowball bir sümük gördü. Onu torpağa basdırmağa başladı. Lili soruşdu: ""Nə edirsən, Qartopu?"" Snoubol miyavladı: ""Mən bu sümüyü basdırıram ki, sonra tapa bilim."" 
 Lili Snoubolun gözünə baxdı və ağ bir şey gördü. Dedi ki, qartopu, sənin gözündə ağ bir şey var. Qartopu miyavladı, ""Həqiqətənmi? Qoy baxım"". Lili yaxından baxdı və bunun sadəcə bir xəz parçası olduğunu gördü. Snowball dedi: ""Uf, gözümdə nəsə olduğunu düşündüm"". 
 Lily və Snowball yağış başlayana qədər çöldə oynamağa davam etdilər. İçəri qaçıb birlikdə qucaqlaşdılar. Lili dedi: ""Mən səni sevirəm, Qartopu"". Snoubol miyavladı: ""Mən də səni sevirəm, Lili"". Və onlar daha çox sərgüzəştlər gözləyərək yuxuya getdilər."
1,azerbaijani,"Bir dəfə tülkü var idi. O, iri qulaqları, tüklü quyruğu və parlaq qara burnu ilə incə və yaraşıqlı idi. Tülkü hər gün naharını günəşli çəmənlikdə yeməkdən həzz alırdı. Sonra bir gün hər şey dəyişdi. 
 Tülkü çəmənliyin o tayından gələn səsi eşitdi. Bunun nə olduğunu görmək üçün hoppandı. Birdən tülkü özünü geniş, açıq bağda gördü. Bağın ortasında böyük bir maşın var idi. 
 Tülkü o qədər maraqlı idi ki, daha yaxından baxmaq qərarına gəldi. Yaxınlaşan kimi o, bir səsin ""Tərs!"" dediyini eşitdi. 
 Tülkü o qədər qorxdu ki, tez bağdan qaçdı. Arxaya baxanda maşın yox idi. Tülkü o qədər rahatladı ki, şansına təşəkkür etdi və çəmənlikdən geriyə atladı. O gündən tülkü getdiyi yerə daha diqqətli oldu. Bir daha belə qorxmaq istəmədi!"
2,azerbaijani,"Tom və Mia dostdurlar. Günəşdə çöldə oynamağı xoşlayırlar. Ancaq bu gün səma boz və böyük buludlar var. Tomun anası deyir ki, tezliklə yağış yağacaq. O, Tom və Miaya xəbərdarlıq edir ki, çölə çıxsalar, çətir götürsünlər. 
 Tom və mia qulaq asmır. Yağışın əyləncəli olduğunu düşünürlər. Çölə qaçıb çətiri evdə qoyub gedirlər. Onlar gölməçələrdə tullanır və bir-birinə sıçrayırlar. Gülürlər və əylənirlər. 
 Ancaq sonra yağış daha da şiddətlənir. Artıq əyləncə deyil. Soyuq və nəmdir. Tom və Mia titrəməyə və ağlamağa başlayır. Evə qayıtmaq istəyirlər. Amma onların çətiri yoxdur. Onlar islanmış və kədərlidirlər. 
 Tomun anası onları pəncərədən görür. O xoşbəxt deyil. O, çətir və dəsmal ilə çölə çıxır. O, Tom və Mianın üstünü çətirlə örtür və onları dəsmala bürür. Onları içəri aparır, isti paltar və şorba verir. 
 O deyir: ""Mən sənə xəbərdarlıq etmişdim ki, çətir götür. Yağış həmişə əyləncəli olmur. Bəzən darıxdırıcı və pis olur. Gələn dəfə məni dinlə və diqqətli ol"". 
 Tom və Mia başlarını yelləyirlər. Onlar peşmandırlar. Onlar Tomun anasını qucaqlayır və təşəkkür edirlər. Onlar dərslərini öyrənirlər. Yağış dayanana qədər oyuncaqları ilə içəridə oynamağa qərar verirlər. Günəşin tezliklə qayıdacağına ümid edirlər."
3,azerbaijani,"Bir vaxtlar Pit adlı şən bir oğlan var idi. Dostları ilə oynamağı və tullanmağı çox sevirdi. 
 Bir gün Pit müsabiqəyə qatılmaq qərarına gəldi. O, kubok qazanmaq istədiyi üçün çox həyəcanlı idi. Bacardığı qədər oynadı, amma təəssüf ki, qalib gələ bilmədi. 
 Pit o qədər kədərləndi ki, ağlamağa başladı. Dostları onun necə kədərləndiyini görüb, onu sevindirməyə çalışıblar. Onu çox qucaqladılar və çoxlu gülümsədilər. 
 Birdən Pit ağlamağı dayandırdı və gülümsədi. Yarışmada qalib olmasa da, dostları ona indiyə qədər ən şən kuboku vermişdilər. Hamı çox xoşbəxt idi və hamısı birlikdə qeyd etdilər. 
 O vaxtdan bəri, Pit həmişə müsabiqədə qalib olmasa da, kubok qazanmaq hissini xatırlayırdı."
4,azerbaijani,"Sara və Ben anaları ilə muzeyə gedirdilər. Muzeyi bəyəndilər, çünki orada görmək və öyrənmək üçün çox şey var idi. Anam dedi ki, ora çatmaq üçün metroya minməlidilər. Sara və Ben əvvəllər heç vaxt metroda olmamışdılar. Maraqlı və həyəcanlı idilər. 
 Onlar stansiyaya gedib qatarı gözlədilər. Çoxlu pəncərə və qapıları olan böyük bir metal ilan gördülər. Güclü səs çıxarıb onların qarşısında dayandı. Anam dedi ki, bu metrodur, tez içəri girib yer tapmalıyıq. Onların əllərindən tutub içəri apardı. 
 Metro izdihamlı və səs-küylü idi. Sara və Ben ətrafa baxanda müxtəlif rəngli və geyimli çoxlu insan gördülər. Bəziləri oxuyur, bəziləri danışır, bəziləri musiqi dinləyirdi. Onlar da gitara və papaqlı bir adam gördülər. O, mahnı oxuyur, oynayırdı. O, onlara gülümsəyərək dedi: ""Salam, balacalar. Musiqini sevirsinizmi?"" 
 Sara və Ben başlarını tərpətdilər. Musiqini çox sevirdilər. Kişinin mahnısına qulaq asıb əl çaldılar. Kişi dedi: ""Sağ ol, sağ ol. Çox mehribansan. Başqa mahnı eşitmək istəyirsən?"" Sara və Ben dedilər: ""Bəli, xahiş edirəm!"" 
 Kişi başqa mahnı oxudu. Söhbət qədim qalada yaşayan padşah və kraliçadan gedirdi. Sara və Ben mahnını bəyəndilər. Onlar özlərini padşah və kraliça kimi zənn edir, tac və paltar geyinirdilər. Onlar özlərini xoşbəxt və qürurlu hiss edirdilər. 
 Metro onların stansiyasında dayandı. Anam dedi: ""Bura bizim dayanacağımızdır. İndi çıxmalıyıq. Adamla sağollaşın"". Sara və Ben dedilər: ""Əlvida, mahnılara görə təşəkkürlər!"" Kişi dedi: ""Xoş gəldin, gününüz xoş keçsin!"" Onlara əl yelləyib gitara və papağını çantaya qoydu. 
 Ana, Sara və Ben metrodan düşüb muzeyə getdilər. Çoxlu sütunları və heykəlləri olan böyük bir bina gördülər. Ana dedi: ""Bu muzeydir. İçində çoxlu qədim əşyalar var. Onları görməyə hazırsan?"" Sara və Ben dedilər: ""Bəli, bizik!"" Ananın əlindən tutub muzeyə girdilər. Onlar daha çox öyrənməyə can atırdılar."
5,azerbaijani,"Bir vaxtlar kiçik bir evdə Mia adlı kiçik bir qız yaşayırdı. Mia kağızı əyləncəli formalara qatmağı sevirdi. O, kağızdan quşlara, qayıqlara və papaqlara qatlayardı. Bütün günü kağız oyuncaqları ilə oynamağı xoşlayırdı. 
 Bir gün Mia pəncərəsindən kənarda səs eşitdi. O, çölə baxdı və kiçik bir quş gördü. Quş uça bilmədiyi üçün kədərləndi. Mia quşa kömək etmək istədi, ona görə də onun üçün kağızdan qanad qatladı. Qanadı quşun üstünə qoydu və quş yenidən uça bildi. 
 Quş çox sevindi və onun köməyinə görə Miaya təşəkkür etdi. Digər heyvanlar Mianın nə etdiyini gördülər və hamısı onunla dost oldular. Mia öyrəndi ki, başqalarına qarşı xeyirxah və faydalı olmaq onu da xoşbəxt edir. Hekayənin əxlaqı, bacardığınız zaman başqalarına həmişə kömək etməkdir."
6,azerbaijani,"Matilda üç yaşında idi və oyuncaq lobya ilə oynamağı çox sevirdi. Bir gün o, bağçada gəzərkən iyli bir çiçək gördü. O, bununla maraqlanırdı, ona görə də anasını onun qoxusunu hiss etməsinə icazə verməyə çağırdı. ""Ehtiyatlı ol"" dedi anası. Matilda yaxınlaşıb burnunu çəkdi. Çiçək o qədər qoxuyurdu ki, o, qaçıb, paxlasını yerə atıb. 
 Matildanın anası paxlalı götürmək üçün yaxınlaşdı və dedi: ""Qoy bu, dərs olsun! Biz heç vaxt düşünmədən nəyisə çox tez etməyə çağırmamalıyıq."" Matilda üzr istədi, başını tərpətdi və anasını qucaqladı. Paxlasını əlində geri götürərək, növbəti dəfə daha diqqətli olacağına söz verdi."
7,azerbaijani,"James və Emily ən yaxşı dost idi. Günəşli bir gündə kəşfiyyata getməyə qərar verdilər. Gəzərkən meşədən keçən naməlum cığır gördülər. Onlar onu izləmək qərarına gəldilər və özlərini gözəl bir gizli gölün yaxınlığında tapdılar. Göl günəşdə parıldadı və cütlük tez üzmək qərarına gəldi. 
 Ceyms və Emili gizli sığınacaqlarını tapmaqdan xoşbəxt olaraq sərin suda gəzirdilər. Tezliklə Ceyms gölün ortasında böyük bir qaya gördü. O, üzmək və onu yoxlamaq qərarına gəldi. Yaxınlaşdıqca günəşdə nəyinsə parıldadığını gördü. Əlini uzadıb sudan böyük, parlaq bir xəzinə sandığını çıxardı. 
 Cütlük təəccübləndi və həyəcanlandı. Sinənin içərisində qızıl sikkə yığını var idi. Onlar gizli bir xəzinə tapmışdılar! Kəşflərindən məmnun olan Ceyms və Emili tez qərara gəldilər ki, bunu sirr olaraq saxlasınlar və gizli gölün başqa nə təklif etdiyini görmək üçün gözləsinlər."
8,azerbaijani,"Bir vaxtlar Lili adlı kiçik bir qız var idi. Bir səhər tezdən oyandı və pəncərədən bayıra baxdı. O, həyətdə qonşusunun pişiyinin oynadığını görüb. Lilinin pişiyi olmadığı üçün qısqanırdı. 
 Həmin gün Lili anası ilə parka getdi. Onlar topla oynayan bir neçə uşaq gördülər. Lili onlara qoşulmaq istəyirdi, amma utanırdı. Bunun əvəzinə onların oyununu izləmək qərarına gəldi. 
 Bir müddət sonra uşaqlardan biri Lilini onlarla oynamağa dəvət etdi. O, çox xoşbəxt idi və çox əyləndi. Evə gələndə atasına parkda keçirdiyi günü danışdı. Cəsur olduğu və yeni dostlar qazandığı üçün onunla fəxr edirdi."
0,chinese,"从前,有一位音乐家,他整天喜欢演奏音乐。他非常有才华,他的音乐非常有趣。
有一天,他在公园散步时,注意到一只小狗,它孤身一人。他赶紧跑到小狗身边,把它抱在怀里。小狗很高兴有一个新朋友,并依偎在音乐家身边。
音乐家决定把小狗带回家。他意识到这只小狗一定是迷路了,他想帮助它找到一个可以归属的地方。
他把小狗带回家,拿给他所有的朋友看。大家都觉得这只小狗非常可爱。他们笑着玩耍,小狗感觉就像在家里一样。
这位音乐家为小狗找到了完美的家庭,他很高兴帮助小狗找到了归属的地方。他们从此过上了幸福的生活!"
1,chinese,"从前,有一只小狗,名叫斑点。斯波喜欢玩他的球。有一天,斯波特在公园里看到一个大球。他高兴极了,想踢它。
斑点踢出了球,但它属于一个被宠坏的男孩。男孩因为斯波踢了他的球而生气。斑点感到悲伤并逃跑了。男孩追赶斯波,但他追不到他。
最后,男孩学会了分享,让 Spot 踢球。他们成了朋友,一起玩耍。这个故事的寓意是分享使每个人都快乐。"
2,chinese,"从前,在大海里,有一只大章鱼。章鱼有很多条腿。他人很好,很喜欢和鱼一起玩。有一天,章鱼正在和他的鱼朋友们玩耍时,发生了一件意想不到的事情。
一阵大浪袭来,把鱼卷走了很远。章鱼很伤心,想找到他的朋友。他游啊游,四处张望。然后,他看到了一艘载满了人的大船。人们一边喊一边指着什么东西。
章鱼游得更近,看到人们正在对他的鱼朋友大喊大叫!他们被困在一张大网里。章鱼很勇敢,用他有力的腿把网拉开了。鱼友们自由地游了过来,并向章鱼表示感谢。他们都回到了大海的家,从此快乐地玩耍。"
3,chinese,"萨拉喜欢唱歌。她一直在唱歌。她早上、下午、晚上都唱歌。她给她的洋娃娃、她的猫和她的妈妈唱歌。她唱快乐的歌、悲伤的歌、搞笑的歌。她长大后想成为一名歌剧演员。
有一天,她妈妈带她去看一场歌剧。萨拉非常兴奋。她穿上了她最好的衣服和闪亮的鞋子。当他们走向大剧院时,她牵着妈妈的手。她看到很多人都穿着漂亮的衣服。她听到音乐和鼓掌声。她闻到了爆米花和鲜花的味道。
他们找到座位,等待歌剧开始。莎拉看着舞台。她看到一个大窗帘,上面挂着图画。她看到了灯光和扬声器。她看到一个有许多乐器的大型管弦乐队。她听到一个响亮的声音说:""女士们、先生们,欢迎来到歌剧院!""
幕布拉开,莎拉看到了歌剧演员们。他们穿着漂亮的服装,戴着假发。他们在舞台上翩翩起舞。他们用萨拉听不懂的语言唱歌。但萨拉并不在意。她喜欢他们的声音。他们听起来就像天使。萨拉想和他们一起唱歌。
她低声对妈妈说:""妈妈,我可以和他们一起唱歌吗?求你了,求你了,求你了?""
她妈妈微笑着说:""不,亲爱的,你不能。你必须安静地听。也许当你长大了,你可以在歌剧中唱歌。但现在,你必须享受这个表演。""
莎拉点点头,但她并不高兴。她现在想唱歌。她感到胸口有一股强烈的冲动。她觉得自己必须唱歌。她闭上眼睛祈祷。她向上帝、向天使、向歌剧演员祈祷。她祈祷他们能让她和他们一起唱歌。她祈祷他们能听到她的声音并爱她。
她睁开眼睛,发现戏子们正在看着她。他们看上去既愤怒又害怕。他们停止唱歌并指着她。莎拉意识到她一直在大声唱歌。她在不知不觉中唱得越来越大声。在歌剧中间,她用自己的语言唱着自己的歌。
剧场里的人也都看着她。他们看上去又生气又恼怒。他们对她发出嘘声和嘶嘶声。他们向她扔爆米花和鲜花。他们对她大喊,让她安静并走开。
莎拉心里一阵剧痛。她感到眼里含着泪水。她感觉到妈妈的手把她从座位上拉了起来。她感觉到妈妈的声音在说:""我很抱歉,我很抱歉,我很抱歉。""
萨拉不明白。她并不是故意要毁掉这部歌剧。她并不是有意要惹大家生气。她只是想唱歌。她只想成为一名歌剧演员。
当他们离开剧院时,她哭了又哭。当他们走向汽车时,她哭了又哭。当他们开车回家时,她哭了又哭。
她感到孤独和悲伤。她觉得自己没有朋友。她感觉自己没有声音了。
她再也没有唱歌过。"
4,chinese,"从前,有一个小女孩,名叫莉莉。她喜欢和朋友们一起在公园里跑步和玩耍。有一天,莉莉在玩捉人游戏时摔倒了,伤到了肌肉。她哭了,她妈妈过来帮她。
妈妈说:""我们用一条热毛巾敷在你的肌肉上,这样会舒服一些。""莉莉点点头,她妈妈跑去拿毛巾。当她回来时,莉莉的朋友蒂米问:""莉莉,你还好吗?""莉莉皱眉道:""我的肌肉疼。""
提米说:""别担心,我们可以玩点别的,不会伤到你的肌肉。""莉莉微笑道:""听起来很有趣!""他们玩起了捉迷藏,玩得很开心。莉莉的肌肉感觉好多了,她很高兴有这么好的朋友。"
5,chinese,"有一天,一个名叫米娅的小女孩在地上发现了一些粉笔。她拿起它,开始在人行道上画画。她画了一个大太阳、一张幸福的脸和一只猫。米娅玩得很开心。
一个名叫蒂姆的男孩看到米娅画画,也想玩。 ""我可以和你一起画画吗?""他问。米娅说:""是的,你可以!""蒂姆发现了一支坏粉笔。虽然又小又脏,但他还是用了。他画了一只狗和一辆汽车。
过了一会儿,就到了回家的时间了。米娅的妈妈说:""你需要洗手。""米娅和蒂姆看着他们的手。它们被粉笔弄脏了。他们进去洗手。水冲走后变成了粉笔的颜色。他们笑着说:""再见!""对彼此。米娅和蒂姆迫不及待地想再次玩粉笔。"
6,chinese,"从前有一个女孩,她对日落感到非常兴奋。她看着美丽的色彩划过天空,微笑着。
女孩很喜欢日落,也想支持它。她以为自己可以保护夕阳,保证它的安全。所以每天,她都站着看着它,微笑着直到它消失。
当暴风雨来临时,事情发生了变化。女孩害怕了,试图撑起夕阳,但风雨太大了。夕阳被夺走了,女孩很伤心。
女孩再也没有见过日落,感到非常失望。无论她如何努力支持它,她都无法保证它的安全。"
7,chinese,"从前,有一只大熊,它非常饿。他决定去一家餐馆吃点面食。当他到达时,他看到有很多不同类型的面食可供选择。他问服务员哪一种最受欢迎  ,服务员告诉他是意大利面。
小熊决定点意大利面,然后耐心地等待食物上桌。当它终于到来时,他非常高兴,因为它看起来和闻起来都很美味。他咬了一大口,味道比看起来还要好!熊非常高兴,他又点了一盘意大利面带回家。
从那天起,小熊每周都会去餐厅点他最喜欢的面食。他告诉他所有的朋友这道菜有多美味,很快它就成了整个森林里最受欢迎的菜肴!"
8,chinese,"从前,有一个小女孩,名叫莉莉。她喜欢在阳光下在外面玩耍。有一天,她和妈妈一起去公园。他们看到地上有一根大棍子。莉莉说:""妈妈,我可以把棍子带回家吗?""
妈妈说:""当然,莉莉。但是要小心,它对你来说可能太重了。""莉莉拿起棍子说:""我准备好了,妈妈!""他们一起走回家,莉莉紧紧地握着棍子。
当他们回到家时,莉莉向她爸爸展示了那根大棍子。爸爸说:""莉莉,这是一根很好的棍子。但是你不应该在屋子里玩它。""莉莉点点头,把棍子放在外面的门廊上。
但那天晚上晚些时候,一场大风暴来了。风太大了,把棍子吹倒了。它撞到了窗户,把它打破了。莉莉感到悲伤和害怕。她说:""对不起,妈妈和爸爸。我不是故意用棍子打破窗户的。""他们拥抱了她,说:""没关系,莉莉。我们很高兴你安全了。"""
